Product,Details,Cost_1_Print,Sell_Price_1_Print,Profit_1_Print,Cost_2_Print,Sell_Price_2_Print,Profit_2_Print,Est_Print_Cost
Remera clasica man blanca.,S,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica man blanca.,XL,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica man blanca.,XXL,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica man negra,L,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica man negra,M,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica man negra,S,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica man negra,XL,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica man negra,XXL,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica woman blanca,L,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica woman blanca,M,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica woman blanca,S,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica woman blanca,XL,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica woman blanca,XXL,14600,24333.333333333336,9733.333333333336,15656,26093.333333333336,10437.333333333336,1056
Remera clasica woman negra,L,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica woman negra,M,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica woman negra,S,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica woman negra,XL,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera clasica woman negra,XXL,17170,28616.666666666668,11446.666666666668,19696,32826.66666666667,13130.666666666672,2526
Remera crop de mujer,"L, Chocolate",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"L, Crema",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"L, Gris melange",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"L, Visón",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"M, Chocolate",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"M, Crema",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"M, Gris melange",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"M, Visón",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"S, Chocolate",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"S, Crema",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"S, Gris melange",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"S, Visón",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"XL, Chocolate",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"XL, Crema",12442,20736.666666666668,8294.666666666668,15156,25260.0,10104.0,2714
Remera crop de mujer,"XL, Gris melange",12442,20736.666666666668,8294.666666666668,15156,25260.0,10104.0,2714
Remera crop de mujer,"XL, Visón",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"XXL, Chocolate",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera crop de mujer,"XXL, Crema",12442,20736.666666666668,8294.666666666668,15156,25260.0,10104.0,2714
Remera crop de mujer,"XXL, Gris melange",12442,20736.666666666668,8294.666666666668,15156,25260.0,10104.0,2714
Remera crop de mujer,"XXL, Visón",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remera oversize unisex blanca,L,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,M,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,S,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,XL,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,XS,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,XXL,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex blanca,XXS,15000,25000.0,10000.0,16500,27500.0,11000.0,1500
Remera oversize unisex negra,L,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,M,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,S,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,XL,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,XS,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,XXL,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex negra,XXS,17570,29283.333333333336,11713.333333333336,20096,33493.333333333336,13397.333333333336,2526
Remera oversize unisex stone wash,L,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remera oversize unisex stone wash,M,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remera oversize unisex stone wash,S,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remera oversize unisex stone wash,XL,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remera oversize unisex stone wash,XS,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remera oversize unisex stone wash,XXL,17970,29950.0,11980.0,20496,34160.0,13664.0,2526
Remeras infantil unisex,"10, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"10, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"10, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"10, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"12, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"12, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"12, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"12, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"14, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"14, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"14, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"14, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"4, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"4, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"4, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"4, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"6, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"6, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"6, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"6, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"8, Amarillo",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"8, Celeste",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"8, Gris",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
Remeras infantil unisex,"8, Rosa",14100,23500.0,9400.0,15156,25260.0,10104.0,1056
